"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 00:08:50 BST 2019","Mon Sep 02 00:08:59 BST 2019","8650","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I enter glasgow name","And I enter glasgow name",""
"passed","Mon Sep 02 00:08:34 BST 2019","Mon Sep 02 00:08:34 BST 2019","62","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display min and max temperature of selected 4","And I display min and max temperature of selected 4",""
"passed","Sun Sep 01 23:25:03 BST 2019","Sun Sep 01 23:25:03 BST 2019","1","","Test the page title: Check weather forecast for specific city","","Test the page title: Check weather forecast for specific city","Given I open the site ""/""","Given I open the site ""/""",""
"passed","Sun Sep 01 22:36:28 BST 2019","Sun Sep 01 22:36:28 BST 2019","33","","Test the page title: Error scenarios","","Test the page title: Error scenarios","And I get value","And I get value",""
"passed","Mon Sep 02 00:08:19 BST 2019","Mon Sep 02 00:08:19 BST 2019","63","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display min and max temperature of selected 3","And I display min and max temperature of selected 3",""
"passed","Mon Sep 02 00:08:59 BST 2019","Mon Sep 02 00:08:59 BST 2019","128","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I click on a 2 to check hourly forecast","And I click on a 2 to check hourly forecast",""
"passed","Mon Sep 02 00:08:44 BST 2019","Mon Sep 02 00:08:50 BST 2019","6113","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I click on a 5 to hide the wethere forecast","And I click on a 5 to hide the wethere forecast",""
"passed","Mon Sep 02 00:09:05 BST 2019","Mon Sep 02 00:09:05 BST 2019","31","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display dominant wind speed of selected 2","And I display dominant wind speed of selected 2",""
"passed","Mon Sep 02 00:08:04 BST 2019","Mon Sep 02 00:08:04 BST 2019","36","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I display dominant wind speed of selected 1","And I display dominant wind speed of selected 1",""
"passed","Mon Sep 02 00:08:59 BST 2019","Mon Sep 02 00:09:05 BST 2019","6119","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I click on a 2 to hide the wethere forecast","And I click on a 2 to hide the wethere forecast",""
"passed","Sun Sep 01 23:25:19 BST 2019","Sun Sep 01 23:25:28 BST 2019","8708","","Test the page title: Error scenarios","","Test the page title: Error scenarios","And I enter invalidcity name","And I enter invalidcity name",""
"passed","Mon Sep 02 00:08:59 BST 2019","Mon Sep 02 00:08:59 BST 2019","18","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I verify five days weather is displayed","And I verify five days weather is displayed",""
"passed","Mon Sep 02 00:08:35 BST 2019","Mon Sep 02 00:08:44 BST 2019","8711","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","And I enter stirling name","And I enter stirling name",""
"passed","Mon Sep 02 00:08:50 BST 2019","Mon Sep 02 00:08:50 BST 2019","1","","To test the weather application.: Check weather forecast for specific city","","To test the weather application.: Check weather forecast for specific city","Given I open the site ""/""","Given I open the site ""/""",""
